"","r200416","r200417","r200418","r200419","r200420","r200421","r200422","r200423","r200424","r200425","r200427","r200428","r200429","r200430","r200501","r200502","r200503","r200504","r200505","r200506"
"2020-03-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-03",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2020-03-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2020-03-06",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"2020-03-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-08",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"2020-03-09",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
"2020-03-10",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"2020-03-11",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2020-03-12",18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,17,17,18,18,18
"2020-03-13",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,25,25
"2020-03-14",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"2020-03-15",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"2020-03-16",46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45
"2020-03-17",47,47,47,47,47,47,47,47,47,46,47,47,47,47,47,47,47,47,47,47
"2020-03-18",46,46,46,46,46,46,46,46,46,47,46,46,46,46,46,46,46,46,46,46
"2020-03-19",51,51,51,51,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51
"2020-03-20",62,63,63,63,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63
"2020-03-21",33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
"2020-03-22",39,39,39,39,41,41,41,41,41,39,39,40,40,40,40,40,40,40,40,40
"2020-03-23",82,82,82,82,80,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82
"2020-03-24",75,75,75,75,71,71,71,72,72,76,76,76,76,76,76,76,76,76,76,76
"2020-03-25",91,91,91,91,92,92,92,92,91,91,91,91,91,91,91,91,91,91,91,91
"2020-03-26",84,84,84,84,83,83,83,83,83,84,83,83,83,83,83,83,83,83,84,84
"2020-03-27",85,85,85,85,89,88,89,89,89,85,86,86,86,86,86,86,86,86,86,86
"2020-03-28",84,84,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
"2020-03-29",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"2020-03-30",70,70,71,71,68,68,68,68,68,71,71,71,71,71,71,71,71,71,71,71
"2020-03-31",51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,51,51,51,51
"2020-04-01",56,56,58,58,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58
"2020-04-02",51,51,52,53,55,55,55,55,55,53,53,53,53,53,53,53,52,52,51,51
"2020-04-03",56,56,56,56,57,57,57,57,57,56,56,56,56,56,56,56,56,56,56,56
"2020-04-04",38,38,37,36,35,35,36,36,36,37,37,37,37,37,38,37,37,36,36,37
